store_name,#뷰맛집,#사진명소,#힐링코스,#분위기좋은,#이색체험,#야경명소,#계절명소,#아이와함께,#가족여행,#데이트코스,#우정여행,#혼자여행,#찐맛집,#디저트맛집,#가성비갑,#양푸짐,#주차편함,#친절해요,#넓은공간,#접근성좋은,#청결한,#웨이팅필수,#산책하기좋은,#역사탐방,#전시관람,#액티비티,#실내데이트,#반려동물동반,#무료입장,#휴식하기좋은
태화강 국가정원,0.07599246,0.11769101,0.06899155,0.051185697,0.027946724,0.045514926,0.21376601,0.047704864,0.045872297,0.015974432,0.013081349,0.011416252,0.030741708,0.016376426,0.00961007,0.005841016,0.05231113,0.026260698,0.024114467,0.041443937,0.03709167,0.02093184,0.2726666,0.006395397,0.06782241,0.0032669427,0.04836399,0.025942659,0.023880312,0.2563156
통영케이블카,0.44015378,0.08294522,0.04203783,0.036909714,0.093290344,0.025763072,0.17421618,0.08695821,0.08563005,0.006711238,0.008802637,0.013260464,0.003358495,0.013821026,0.03032813,0.005175319,0.010355014,0.03125544,0.0048128036,0.024909975,0.006509419,0.12398098,0.008139316,0.0020660388,0.0047461805,0.09564965,0.06456653,0.01052376,0.008373054,0.018834243
통인시장,0.0058656116,0.0067001856,0.0018269599,0.0042554145,0.15140009,0.0038620874,0.011509431,0.09006687,0.012809668,0.0068013817,0.0038337964,0.003980133,0.14308028,0.010060466,0.029509133,0.0050631706,0.0009893356,0.0850537,0.009068544,0.010171736,0.0074599497,0.013887994,0.0018795978,0.00386547,0.0041194237,0.0022773643,0.008767467,0.0014404857,0.0025291797,0.0027964464
파라다이스시티,0.029548619,0.038933493,0.057696562,0.046344005,0.047723655,0.0113925915,0.029616741,0.13075079,0.08870016,0.014169965,0.018692302,0.008421272,0.114656664,0.08312952,0.027362106,0.01619903,0.017090058,0.15413025,0.02431328,0.039654754,0.07488167,0.0426585,0.01292862,0.006332583,0.035480715,0.008993507,0.045334395,0.0050747884,0.026421253,0.031231627
퍼스트가든,0.049325384,0.244418,0.032615844,0.07545375,0.16822614,0.2101049,0.09715737,0.26072282,0.09486178,0.0745401,0.025514765,0.012883771,0.06171383,0.08032111,0.033139773,0.015596487,0.058144078,0.08446429,0.040788602,0.024337335,0.057442203,0.053897616,0.05744571,0.007235163,0.017879726,0.08523356,0.03450988,0.028810024,0.05480902,0.06431717
평화광장,0.13227989,0.015867487,0.021527566,0.01174465,0.011003801,0.020915313,0.05048623,0.0195762,0.011448784,0.010695361,0.0041545406,0.0017066044,0.03675034,0.08713553,0.0051419805,0.004749506,0.01987179,0.06213706,0.010835331,0.028142666,0.020501524,0.03950589,0.059541,0.0016176271,0.0054992405,0.001591914,0.026802182,0.0044963346,0.0019566757,0.06541481
피나클랜드 수목원,0.11081225,0.30996352,0.09596965,0.034150504,0.078771554,0.032539014,0.5343926,0.12557204,0.11491228,0.040508453,0.016435854,0.013852625,0.08832729,0.07499077,0.04288836,0.013857962,0.096552715,0.029676814,0.041833878,0.050613426,0.08375016,0.080606915,0.2108745,0.005760718,0.023402425,0.0074524544,0.033456232,0.029284615,0.1270212,0.22396241
하늘공원,0.4060428,0.17946357,0.07045615,0.04148951,0.04703806,0.04051148,0.26684165,0.04344927,0.0440382,0.0324865,0.02271906,0.024159132,0.01788082,0.022661414,0.021090701,0.004674825,0.04541723,0.008975119,0.018483479,0.06455864,0.018401856,0.0699542,0.16725408,0.004656176,0.0229602,0.004396615,0.0579447,0.018358149,0.013450371,0.16486773
하슬라아트월드,0.32159492,0.46447244,0.07997809,0.04578949,0.1076297,0.012548409,0.11273443,0.1178195,0.090335645,0.041768014,0.035627015,0.019152349,0.037934672,0.10419668,0.020974457,0.013968286,0.054772656,0.058094867,0.025921674,0.02738433,0.025880871,0.124257624,0.054184277,0.008586925,0.25451374,0.0063310834,0.09979988,0.024413753,0.05425937,0.07181732
하이원 워터월드,0.019712638,0.01542406,0.033769906,0.0055716704,0.22878538,0.004370926,0.1361381,0.2912543,0.08665054,0.0070168013,0.016563559,0.015374031,0.06260233,0.009025027,0.04195543,0.00677316,0.02597778,0.1334804,0.06179883,0.03309037,0.1605918,0.11604434,0.0057412954,0.0031286927,0.0040449337,0.07311755,0.16043153,0.010188029,0.010808604,0.025133163
